train_start,train_end,test_end,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,accuracy,f1,roc_auc,y_true,y_pred,y_proba
2022-12-02 23:10:00,2023-06-02 23:10:00,2023-06-30 23:10:00,5,0.062053187285085416,210,0.5674990292037998,0.7988057785390393,5,35,0.5430874147551147,0.5472416758815579,0.562525168080343,[0. 1. 0. ... 1. 1. 1.],[0 1 0 ... 1 1 1],[0.44437024 0.5145028  0.4609187  ... 0.54944015 0.5315903  0.5246054 ]
2022-12-30 23:10:00,2023-06-30 23:10:00,2023-07-28 23:10:00,4,0.014835512306415138,477,0.6370162577902139,0.9657276052778561,3,23,0.5391196528208307,0.555116696588869,0.5560344599600451,[1. 1. 1. ... 1. 1. 0.],[1 1 0 ... 1 1 1],[0.5392653  0.51792055 0.453443   ... 0.5763977  0.5991306  0.5782838 ]
2023-01-27 23:10:00,2023-07-27 23:10:00,2023-08-24 23:10:00,5,0.01464233279668145,403,0.6383229612071211,0.5618728505857954,5,50,0.5125852448853069,0.5338550930866832,0.5274994213766606,[1. 1. 1. ... 0. 0. 1.],[1 1 1 ... 1 1 1],[0.5103242  0.50663745 0.5517877  ... 0.5055969  0.57104075 0.5330587 ]
2023-02-24 23:10:00,2023-08-24 23:10:00,2023-09-21 23:10:00,5,0.11799330137875955,378,0.8397625904992687,0.6317725883056515,0,24,0.5231246125232486,0.5272861356932154,0.5252734381007749,[1. 1. 0. ... 1. 0. 1.],[1 0 1 ... 0 0 1],[0.6543883  0.2980637  0.52903706 ... 0.44395524 0.3879555  0.5492586 ]
2023-03-24 23:10:00,2023-09-24 23:10:00,2023-10-22 23:10:00,5,0.13306082706957528,315,0.8541158626808606,0.7711310747286522,4,42,0.5177929324240546,0.5077838248322997,0.5265457397649006,[0. 0. 0. ... 1. 1. 0.],[1 1 1 ... 0 0 0],[0.512733   0.6164261  0.6374153  ... 0.38481483 0.40365028 0.37112236]
2023-04-21 23:10:00,2023-10-21 23:10:00,2023-11-18 23:10:00,6,0.19121202351017688,447,0.7188037612620861,0.6099192091894142,1,24,0.5091134531928084,0.5117770378591688,0.5099627529141337,[0. 0. 1. ... 1. 0. 1.],[0 1 1 ... 0 0 0],[0.30271462 0.565946   0.74033344 ... 0.40321448 0.41052684 0.28913298]
2023-05-19 23:10:00,2023-11-19 23:10:00,2023-12-17 23:10:00,5,0.2861113336413119,335,0.5319418050901208,0.9560848170789734,4,45,0.5138251704897706,0.4328077535078837,0.5144818988487543,[1. 1. 0. ... 0. 0. 0.],[1 1 0 ... 0 1 0],[0.6736853  0.5550068  0.32579377 ... 0.3805034  0.5163911  0.47427627]
2023-06-16 23:10:00,2023-12-16 23:10:00,2024-01-13 23:10:00,6,0.24255132114403588,478,0.5375339992677247,0.8564951961513829,1,16,0.5148171109733416,0.49542230818826566,0.5182751855746819,[1. 0. 0. ... 1. 0. 0.],[1 0 0 ... 1 1 1],[0.7699829  0.46377283 0.4037606  ... 0.6772907  0.5014313  0.7187631 ]
2023-07-14 23:10:00,2024-01-14 23:10:00,2024-02-11 23:10:00,6,0.11213722653668068,102,0.6479110800015265,0.7631727919036454,2,47,0.514941103533788,0.5257032007759457,0.5119517478855122,[0. 0. 1. ... 0. 0. 1.],[1 1 1 ... 0 0 1],[0.6642157  0.6398348  0.5957434  ... 0.39839756 0.4644215  0.5217126 ]
2023-08-11 23:10:00,2024-02-11 23:10:00,2024-03-10 23:10:00,6,0.14771972907662226,490,0.7315910880966141,0.9124151802492544,1,14,0.5123372597644141,0.47580967612954816,0.5173208960570211,[1. 1. 1. ... 1. 0. 0.],[1 1 1 ... 1 0 0],[0.78666186 0.546541   0.57440543 ... 0.75624806 0.442961   0.4931158 ]
2023-09-08 23:10:00,2024-03-08 23:10:00,2024-04-05 23:10:00,4,0.013131832794989981,168,0.532067224695987,0.9242723609746263,2,41,0.5160570365778053,0.6031520081342145,0.5247827760266256,[1. 0. 0. ... 1. 1. 1.],[1 1 1 ... 0 1 0],[0.51502705 0.5008674  0.51849854 ... 0.49524444 0.5038853  0.49568838]
2023-10-06 23:10:00,2024-04-06 23:10:00,2024-05-04 23:10:00,5,0.03039410156286557,169,0.8664198983695173,0.7412620092385126,1,46,0.5259764414135152,0.5845919808758013,0.5358593578672339,[0. 0. 0. ... 1. 1. 1.],[0 0 0 ... 0 1 0],[0.42630786 0.45211637 0.4761633  ... 0.49215594 0.5062963  0.46448407]
2023-11-03 23:10:00,2024-05-03 23:10:00,2024-05-31 23:10:00,5,0.09390016209118342,328,0.803510022324405,0.6663511274495666,5,31,0.5205207687538748,0.5528962885882761,0.5284782815433995,[1. 1. 1. ... 0. 1. 0.],[0 0 0 ... 0 0 0],[0.47183356 0.4687009  0.4748558  ... 0.46016848 0.46982315 0.48238114]
2023-12-01 23:10:00,2024-06-01 23:10:00,2024-06-29 23:10:00,5,0.01021757536001909,58,0.6785502375306022,0.5308224405947751,5,36,0.5241165530068196,0.5759116022099448,0.5338700694839738,[1. 0. 0. ... 0. 1. 0.],[0 1 1 ... 1 1 0],[0.49491656 0.5049007  0.5083317  ... 0.5020802  0.50496006 0.4966623 ]
2023-12-29 23:10:00,2024-06-29 23:10:00,2024-07-27 23:10:00,4,0.010163759545875098,50,0.9176488595384119,0.9710020316314681,1,20,0.5227526348419095,0.5858172818250296,0.5277944697120137,[0. 1. 0. ... 0. 0. 0.],[0 1 1 ... 1 1 1],[0.4975754  0.50369906 0.5112941  ... 0.50856805 0.5169677  0.5251942 ]
2024-01-26 23:10:00,2024-07-26 23:10:00,2024-08-23 23:10:00,6,0.010456240655260553,192,0.9990268549544488,0.5332540049840091,3,41,0.510973341599504,0.5668789808917197,0.511581213138749,[1. 0. 0. ... 0. 1. 1.],[1 0 0 ... 1 0 1],[0.5042449  0.4795203  0.49308914 ... 0.52043957 0.46218377 0.5123472 ]
